Sample,Smiles,Raw,Normalized
TP_V170,CC(C)C1=NC=CC(C)=C1N1C(=O)N=C(N2CCN(C[C@@H]2C)C(=O)C=C)C2=CC(F)=C(N=C12)C1=C(O)C=CC=C1F,3.234390735,1
TP_V170,O=C(NC1=CC=C(C=C1)C1(CCCC1)C#N)C1=CC=CN=C1NCC1=CC=NC=C1,0.751762336,0.352711576
TP_V170,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,0.406344411,0.201180374
TP_V170,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,0.768882175,0.360221869
TP_V170,NC(=O)N(C1=CC=C(C(N)=O)C(=N1)C1=CC=C(F)C=C1F)C1=C(F)C=CC=C1F,4.089627392,1
TP_V170,CN(C)CCNS(=O)(=O)CC1=CC(NC2=NC(OC3=CC4=C(NC(C)=C4)C=C3)=CC=N2)=CC=C1,0.79632427,0.372260427
TP_V170,CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F,2.330563948,1
TP_V170,NC1(CCN(CC1)C1=C2C=CNC2=NC=N1)C(=O)N[C@@H](CCO)C1=CC=C(Cl)C=C1,0.187311178,0.105092804
TP_V170,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C,0.756042296,0.35458915
TP_V170,N[Pt](N)(Cl)Cl,2.712990937,1
TP_V170,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,0.81570997,0.380764729
